,HourUTC,HourDK,PriceArea,Version,FuelAllocationMethod,ReportGrpCode,ProductionType,DeliveryType,Production_MWh,ShareTotal,ShareGrid,FuelConsumptionGJ,CO2PerkWh,CO2originPerkWh,SO2PerkWh,NOxPerkWh,NMvocPerkWh,CH4PerkWh,COPerkWh,N2OPerkWh,SlagPerkWh,FlyAshPerkWh,ParticlesPerkWh,WastePerkWh,DesulpPerkWh
49,2023-01-01T22:00:00,2023-01-01T23:00:00,DK2,Preliminary,Total,R05x,Coal,Grid,0.034826,0.002348,0.002348,0.755106,2042.469008,2042.469008,238.504873,368.598441,21.682261,19.514035,216.822612,17.345808,16.78207,97.505128,65.046783,0.0,35.450497
50,2023-01-01T22:00:00,2023-01-01T23:00:00,DK2,Preliminary,Total,R06x,Fossil Oil,Grid,1.271379,0.085753,0.085753,28.091847,1697.589344,1697.589344,3568.200529,2633.668265,17.827265,24.065691,202.976662,56.661765,0.356372,2.07055,156.157962,0.0,0.752801
51,2023-01-01T22:00:00,2023-01-01T23:00:00,DK2,Preliminary,Total,R17,Waste,Grid,76.261291,5.143747,5.143747,1633.023944,910.075304,2265.55217,177.732353,1670.255853,11.99158,7.280602,83.512792,25.696243,368.826754,0.0,6.209925,55.867916,0.0
52,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,Preliminary,125%,R01-1,BioGas,Grid,52.090595,1.756506,1.756506,324.441973,0.0,523.809901,119.696108,1254.825477,62.131767,2694.884161,1925.589477,9.936891,0.0,0.0,16.35921,0.0,0.0
53,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,Preliminary,125%,R01-2,Straw,Grid,36.557053,1.232711,1.232711,245.96356,0.0,672.821084,329.682331,841.026355,5.248004,3.162259,450.790126,7.401031,6.068846,2.624002,15.474884,0.0,0.0
54,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,Preliminary,125%,R01-3,Wood,Grid,90.225555,3.042425,3.042425,684.006609,0.0,849.080288,17.86885,288.021976,103.352616,26.509241,739.408908,7.283253,6.838128,2.956618,126.450266,0.0,0.0
55,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,Preliminary,125%,R04x,FossilGas,Grid,24.551193,0.827871,0.827871,164.582174,379.641345,379.641345,6.187786,1053.257331,39.725095,171.244923,92.076655,6.562563,0.0,0.0,29.106078,0.0,0.0
56,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,Preliminary,125%,R05x,Coal,Grid,173.81259,5.860999,5.860999,1441.425146,781.199157,781.199157,91.222831,140.980739,8.292984,7.463686,82.929846,6.634387,6.41877,37.293552,24.878954,0.0,13.559029
57,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,Preliminary,125%,R06x,Fossil Oil,Grid,2.128931,0.071788,0.071788,17.701926,657.863226,657.863226,672.27503,1065.366078,6.919286,7.67382,104.991444,9.788923,0.356263,2.069917,37.062775,0.0,0.752571
58,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,Preliminary,125%,R17,Waste,Grid,67.531824,2.277188,2.277188,488.555025,307.46376,765.403903,60.045863,564.286431,4.051287,2.45971,28.214321,8.681329,124.606019,0.0,2.097988,18.874657,0.0
