,Minutes5UTC,Minutes5DK,PriceArea,CO2Emission
305,2023-01-01T10:15:00,2023-01-01T11:15:00,DK2,38.0
306,2023-01-01T10:10:00,2023-01-01T11:10:00,DK1,38.0
307,2023-01-01T10:10:00,2023-01-01T11:10:00,DK2,38.0
308,2023-01-01T10:05:00,2023-01-01T11:05:00,DK1,39.0
309,2023-01-01T10:05:00,2023-01-01T11:05:00,DK2,39.0
310,2023-01-01T10:00:00,2023-01-01T11:00:00,DK1,38.0
311,2023-01-01T10:00:00,2023-01-01T11:00:00,DK2,38.0
312,2023-01-01T09:55:00,2023-01-01T10:55:00,DK1,37.0
313,2023-01-01T09:55:00,2023-01-01T10:55:00,DK2,37.0
314,2023-01-01T09:50:00,2023-01-01T10:50:00,DK1,37.0
315,2023-01-01T09:50:00,2023-01-01T10:50:00,DK2,37.0
316,2023-01-01T09:45:00,2023-01-01T10:45:00,DK1,38.0
317,2023-01-01T09:45:00,2023-01-01T10:45:00,DK2,38.0
318,2023-01-01T09:40:00,2023-01-01T10:40:00,DK1,38.0
319,2023-01-01T09:40:00,2023-01-01T10:40:00,DK2,38.0
320,2023-01-01T09:35:00,2023-01-01T10:35:00,DK1,38.0
321,2023-01-01T09:35:00,2023-01-01T10:35:00,DK2,38.0
322,2023-01-01T09:30:00,2023-01-01T10:30:00,DK1,38.0
323,2023-01-01T09:30:00,2023-01-01T10:30:00,DK2,38.0
324,2023-01-01T09:25:00,2023-01-01T10:25:00,DK1,38.0
325,2023-01-01T09:25:00,2023-01-01T10:25:00,DK2,38.0
326,2023-01-01T09:20:00,2023-01-01T10:20:00,DK1,39.0
327,2023-01-01T09:20:00,2023-01-01T10:20:00,DK2,39.0
328,2023-01-01T09:15:00,2023-01-01T10:15:00,DK1,39.0
329,2023-01-01T09:15:00,2023-01-01T10:15:00,DK2,39.0
330,2023-01-01T09:10:00,2023-01-01T10:10:00,DK1,40.0
331,2023-01-01T09:10:00,2023-01-01T10:10:00,DK2,40.0
332,2023-01-01T09:05:00,2023-01-01T10:05:00,DK1,41.0
333,2023-01-01T09:05:00,2023-01-01T10:05:00,DK2,41.0
334,2023-01-01T09:00:00,2023-01-01T10:00:00,DK1,43.0
335,2023-01-01T09:00:00,2023-01-01T10:00:00,DK2,43.0
336,2023-01-01T08:55:00,2023-01-01T09:55:00,DK1,44.0
337,2023-01-01T08:55:00,2023-01-01T09:55:00,DK2,44.0
338,2023-01-01T08:50:00,2023-01-01T09:50:00,DK1,45.0
339,2023-01-01T08:50:00,2023-01-01T09:50:00,DK2,45.0
340,2023-01-01T08:45:00,2023-01-01T09:45:00,DK1,44.0
341,2023-01-01T08:45:00,2023-01-01T09:45:00,DK2,44.0
342,2023-01-01T08:40:00,2023-01-01T09:40:00,DK1,43.0
343,2023-01-01T08:40:00,2023-01-01T09:40:00,DK2,43.0
344,2023-01-01T08:35:00,2023-01-01T09:35:00,DK1,43.0
345,2023-01-01T08:35:00,2023-01-01T09:35:00,DK2,43.0
346,2023-01-01T08:30:00,2023-01-01T09:30:00,DK1,43.0
347,2023-01-01T08:30:00,2023-01-01T09:30:00,DK2,43.0
348,2023-01-01T08:25:00,2023-01-01T09:25:00,DK1,43.0
349,2023-01-01T08:25:00,2023-01-01T09:25:00,DK2,43.0
350,2023-01-01T08:20:00,2023-01-01T09:20:00,DK1,43.0
351,2023-01-01T08:20:00,2023-01-01T09:20:00,DK2,43.0
352,2023-01-01T08:15:00,2023-01-01T09:15:00,DK1,43.0
353,2023-01-01T08:15:00,2023-01-01T09:15:00,DK2,43.0
354,2023-01-01T08:10:00,2023-01-01T09:10:00,DK1,44.0
355,2023-01-01T08:10:00,2023-01-01T09:10:00,DK2,44.0
356,2023-01-01T08:05:00,2023-01-01T09:05:00,DK1,47.0
357,2023-01-01T08:05:00,2023-01-01T09:05:00,DK2,47.0
358,2023-01-01T08:00:00,2023-01-01T09:00:00,DK1,48.0
359,2023-01-01T08:00:00,2023-01-01T09:00:00,DK2,48.0
360,2023-01-01T07:55:00,2023-01-01T08:55:00,DK1,49.0
361,2023-01-01T07:55:00,2023-01-01T08:55:00,DK2,49.0
362,2023-01-01T07:50:00,2023-01-01T08:50:00,DK1,48.0
363,2023-01-01T07:50:00,2023-01-01T08:50:00,DK2,48.0
364,2023-01-01T07:45:00,2023-01-01T08:45:00,DK1,49.0
365,2023-01-01T07:45:00,2023-01-01T08:45:00,DK2,49.0
366,2023-01-01T07:40:00,2023-01-01T08:40:00,DK1,49.0
367,2023-01-01T07:40:00,2023-01-01T08:40:00,DK2,49.0
368,2023-01-01T07:35:00,2023-01-01T08:35:00,DK1,50.0
