,HourUTC,HourDK,PriceArea,ConnectedArea,ReportGrpCode,Version,ReportGrp,SharePPM,ShareMWh,CO2Emission
142,2023-01-01T20:00:00,2023-01-01T21:00:00,DK2,DK2,R16,Preliminary,Solar,27,0.06623,0.0
143,2023-01-01T20:00:00,2023-01-01T21:00:00,DK2,DK2,R17,Preliminary,Waste,31664,77.6038,28728.97823
144,2023-01-01T20:00:00,2023-01-01T21:00:00,DK2,DK2,R18,Preliminary,WindOffshore,372519,912.964207,0.0
145,2023-01-01T20:00:00,2023-01-01T21:00:00,DK2,DK2,R19,Preliminary,WindOnshore,149822,367.181364,0.0
146,2023-01-01T20:00:00,2023-01-01T21:00:00,DK2,SE,R06x,Preliminary,Fossil oil a.o.,13176,32.292819,26288.730683
147,2023-01-01T20:00:00,2023-01-01T21:00:00,DK2,SE,R11x,Preliminary,Hydro,97696,239.432335,
148,2023-01-01T20:00:00,2023-01-01T21:00:00,DK2,SE,R14,Preliminary,Nuclear,86033,210.848824,
149,2023-01-01T20:00:00,2023-01-01T21:00:00,DK2,SE,R19,Preliminary,Onshore,85513,209.576022,
150,2023-01-01T19:00:00,2023-01-01T20:00:00,DK1,DK1,R01-1,Preliminary,BioGas,9197,50.506416,0.0
151,2023-01-01T19:00:00,2023-01-01T20:00:00,DK1,DK1,R01-2,Preliminary,Straw,7986,43.856474,0.0
152,2023-01-01T19:00:00,2023-01-01T20:00:00,DK1,DK1,R01-3,Preliminary,Wood,14736,80.925242,0.0
153,2023-01-01T19:00:00,2023-01-01T20:00:00,DK1,DK1,R04x,Preliminary,FossilGas,4266,23.428204,10894.414033
154,2023-01-01T19:00:00,2023-01-01T20:00:00,DK1,DK1,R05x,Preliminary,Coal,44579,244.814862,173827.320973
155,2023-01-01T19:00:00,2023-01-01T20:00:00,DK1,DK1,R06x,Preliminary,Fossil Oil,829,4.552801,2980.528651
156,2023-01-01T19:00:00,2023-01-01T20:00:00,DK1,DK1,R11x,Preliminary,Hydro,579,3.182256,0.0
157,2023-01-01T19:00:00,2023-01-01T20:00:00,DK1,DK1,R16,Preliminary,Solar,21,0.116215,0.0
158,2023-01-01T19:00:00,2023-01-01T20:00:00,DK1,DK1,R17,Preliminary,Waste,13455,73.89275,21759.213664
159,2023-01-01T19:00:00,2023-01-01T20:00:00,DK1,DK1,R18,Preliminary,WindOffshore,185530,1018.855667,0.0
160,2023-01-01T19:00:00,2023-01-01T20:00:00,DK1,DK1,R19,Preliminary,WindOnshore,338687,1859.933981,0.0
161,2023-01-01T19:00:00,2023-01-01T20:00:00,DK1,DK2,R01-1,Preliminary,BioGas,371,2.038307,0.0
162,2023-01-01T19:00:00,2023-01-01T20:00:00,DK1,DK2,R01-2,Preliminary,Straw,1199,6.587238,0.0
163,2023-01-01T19:00:00,2023-01-01T20:00:00,DK1,DK2,R01-3,Preliminary,Wood,13198,72.480038,0.0
164,2023-01-01T19:00:00,2023-01-01T20:00:00,DK1,DK2,R04x,Preliminary,FossilGas,119,0.653868,276.250014
165,2023-01-01T19:00:00,2023-01-01T20:00:00,DK1,DK2,R05x,Preliminary,Coal,0,0.005223,6.381061
166,2023-01-01T19:00:00,2023-01-01T20:00:00,DK1,DK2,R06x,Preliminary,Fossil Oil,192,1.05617,1048.716624
167,2023-01-01T19:00:00,2023-01-01T20:00:00,DK1,DK2,R16,Preliminary,Solar,3,0.020741,0.0
168,2023-01-01T19:00:00,2023-01-01T20:00:00,DK1,DK2,R17,Preliminary,Waste,3284,18.0345,6708.236238
169,2023-01-01T19:00:00,2023-01-01T20:00:00,DK1,DK2,R18,Preliminary,WindOffshore,38402,210.890543,0.0
170,2023-01-01T19:00:00,2023-01-01T20:00:00,DK1,DK2,R19,Preliminary,WindOnshore,16564,90.962933,0.0
171,2023-01-01T19:00:00,2023-01-01T20:00:00,DK1,GE,R01,Preliminary,Biomass,27692,152.075891,0.0
172,2023-01-01T19:00:00,2023-01-01T20:00:00,DK1,GE,R02,Preliminary,Brown coal,26686,146.550644,137234.639217
173,2023-01-01T19:00:00,2023-01-01T20:00:00,DK1,GE,R04x,Preliminary,Fossil gas,14460,79.408999,43908.979418
174,2023-01-01T19:00:00,2023-01-01T20:00:00,DK1,GE,R05x,Preliminary,Coal,13154,72.239331,67647.184786
175,2023-01-01T19:00:00,2023-01-01T20:00:00,DK1,GE,R06x,Preliminary,Fossil oil a.o.,1170,6.429683,5073.01232
176,2023-01-01T19:00:00,2023-01-01T20:00:00,DK1,GE,R11x,Preliminary,Hydro,20758,113.999365,
177,2023-01-01T19:00:00,2023-01-01T20:00:00,DK1,GE,R14,Preliminary,Nuclear,14746,80.979426,
178,2023-01-01T19:00:00,2023-01-01T20:00:00,DK1,GE,R15x,Preliminary,Other renewable,772,4.242609,
179,2023-01-01T19:00:00,2023-01-01T20:00:00,DK1,GE,R17,Preliminary,Waste,4452,24.452511,10359.477416
180,2023-01-01T19:00:00,2023-01-01T20:00:00,DK1,GE,R18,Preliminary,Offshore,33494,183.936515,
181,2023-01-01T19:00:00,2023-01-01T20:00:00,DK1,GE,R19,Preliminary,Onshore,117143,643.305027,
182,2023-01-01T19:00:00,2023-01-01T20:00:00,DK1,SE,R06x,Preliminary,Fossil oil a.o.,1481,8.135796,6623.13619
183,2023-01-01T19:00:00,2023-01-01T20:00:00,DK1,SE,R11x,Preliminary,Hydro,11499,63.150581,
184,2023-01-01T19:00:00,2023-01-01T20:00:00,DK1,SE,R14,Preliminary,Nuclear,9638,52.932896,
185,2023-01-01T19:00:00,2023-01-01T20:00:00,DK1,SE,R19,Preliminary,Onshore,9642,52.951159,
186,2023-01-01T19:00:00,2023-01-01T20:00:00,DK2,DK2,R01-1,Preliminary,BioGas,3514,8.850053,0.0
187,2023-01-01T19:00:00,2023-01-01T20:00:00,DK2,DK2,R01-2,Preliminary,Straw,11359,28.600895,0.0
188,2023-01-01T19:00:00,2023-01-01T20:00:00,DK2,DK2,R01-3,Preliminary,Wood,124987,314.698502,0.0
189,2023-01-01T19:00:00,2023-01-01T20:00:00,DK2,DK2,R04x,Preliminary,FossilGas,1127,2.839005,1199.44012
190,2023-01-01T19:00:00,2023-01-01T20:00:00,DK2,DK2,R05x,Preliminary,Coal,9,0.022679,27.705702
191,2023-01-01T19:00:00,2023-01-01T20:00:00,DK2,DK2,R06x,Preliminary,Fossil Oil,1821,4.585749,4553.385453
192,2023-01-01T19:00:00,2023-01-01T20:00:00,DK2,DK2,R16,Preliminary,Solar,35,0.090053,0.0
193,2023-01-01T19:00:00,2023-01-01T20:00:00,DK2,DK2,R17,Preliminary,Waste,31099,78.303355,29126.2526
194,2023-01-01T19:00:00,2023-01-01T20:00:00,DK2,DK2,R18,Preliminary,WindOffshore,363667,915.658156,0.0
195,2023-01-01T19:00:00,2023-01-01T20:00:00,DK2,DK2,R19,Preliminary,WindOnshore,156859,394.948727,0.0
196,2023-01-01T19:00:00,2023-01-01T20:00:00,DK2,SE,R06x,Preliminary,Fossil oil a.o.,14029,35.324522,28756.759722
197,2023-01-01T19:00:00,2023-01-01T20:00:00,DK2,SE,R11x,Preliminary,Hydro,108899,274.191262,
198,2023-01-01T19:00:00,2023-01-01T20:00:00,DK2,SE,R14,Preliminary,Nuclear,91279,229.827461,
199,2023-01-01T19:00:00,2023-01-01T20:00:00,DK2,SE,R19,Preliminary,Onshore,91310,229.906755,
200,2023-01-01T18:00:00,2023-01-01T19:00:00,DK1,DK1,R01-1,Preliminary,BioGas,8976,50.045321,0.0
201,2023-01-01T18:00:00,2023-01-01T19:00:00,DK1,DK1,R01-2,Preliminary,Straw,10232,57.048127,0.0
202,2023-01-01T18:00:00,2023-01-01T19:00:00,DK1,DK1,R01-3,Preliminary,Wood,14149,78.884242,0.0
203,2023-01-01T18:00:00,2023-01-01T19:00:00,DK1,DK1,R04x,Preliminary,FossilGas,5302,29.561054,10957.741307
204,2023-01-01T18:00:00,2023-01-01T19:00:00,DK1,DK1,R05x,Preliminary,Coal,49536,276.167372,195386.263162
205,2023-01-01T18:00:00,2023-01-01T19:00:00,DK1,DK1,R06x,Preliminary,Fossil Oil,793,4.423999,2900.774342
206,2023-01-01T18:00:00,2023-01-01T19:00:00,DK1,DK1,R11x,Preliminary,Hydro,521,2.905695,0.0
207,2023-01-01T18:00:00,2023-01-01T19:00:00,DK1,DK1,R16,Preliminary,Solar,24,0.138303,0.0
208,2023-01-01T18:00:00,2023-01-01T19:00:00,DK1,DK1,R17,Preliminary,Waste,14260,79.504864,22540.482577
209,2023-01-01T18:00:00,2023-01-01T19:00:00,DK1,DK1,R18,Preliminary,WindOffshore,191219,1066.049684,0.0
210,2023-01-01T18:00:00,2023-01-01T19:00:00,DK1,DK1,R19,Preliminary,WindOnshore,384646,2144.401878,0.0
211,2023-01-01T18:00:00,2023-01-01T19:00:00,DK1,DK2,R01-1,Preliminary,BioGas,366,2.045943,0.0
212,2023-01-01T18:00:00,2023-01-01T19:00:00,DK1,DK2,R01-2,Preliminary,Straw,1429,7.96939,0.0
213,2023-01-01T18:00:00,2023-01-01T19:00:00,DK1,DK2,R01-3,Preliminary,Wood,14247,79.430168,0.0
214,2023-01-01T18:00:00,2023-01-01T19:00:00,DK1,DK2,R04x,Preliminary,FossilGas,172,0.961298,401.898955
